Date;Close;Volume;Open;High;Low
03/23/2022;1581.84;--;1546.75;1591.96;1546.75
03/22/2022;1546.75;--;1561.41;1561.41;1528.43
03/21/2022;1561.41;--;1499.23;1564.08;1499.23
03/18/2022;1499.23;--;1502.3;1508.44;1488.31
03/17/2022;1502.3;--;1446.72;1505.26;1446.72
03/16/2022;1446.72;--;1440.71;1460.92;1430.75
03/15/2022;1440.71;--;1480.28;1480.28;1409.28
03/14/2022;1480.28;--;1514.67;1514.67;1458.62
3/11/22;1514.67;--;1531.85;1534.16;1507.37
3/10/22;1531.85;--;1494.7;1536.39;1494.7
3/09/22;1494.7;--;1536.4;1536.4;1469.07
3/08/22;1536.4;--;1519.49;1584.99;1496.17
3/07/22;1519.49;--;1520.32;1547.61;1487.87
3/04/22;1520.32;--;1488.29;1520.49;1483.78
3/03/22;1488.29;--;1501.73;1508.31;1478.3
3/02/22;1501.73;--;1471.06;1512.64;1471.06
3/01/22;1471.06;--;1464.37;1501.78;1453.47
02/28/2022;1464.37;--;1437.73;1465.44;1416.85
02/25/2022;1435.77;--;1403.76;1436.65;1403.76
02/24/2022;1403.86;--;1418.79;1439.42;1369.23
02/23/2022;1418.79;--;1409.92;1436.28;1409.92
02/22/2022;1409.92;--;1426.32;1466.13;1391.17
02/18/2022;1426.32;--;1435.38;1437.76;1414.3
02/17/2022;1435.38;--;1438.03;1451.91;1425.35
02/16/2022;1438.03;--;1427.25;1464.24;1427.25
02/15/2022;1427.25;--;1455.53;1455.53;1401.71
02/14/2022;1455.53;--;1489.13;1489.13;1440.63
2/11/22;1489.13;--;1446.91;1492.16;1446.91
2/10/22;1446.91;--;1450.36;1473.69;1438.08
2/09/22;1450.36;--;1433.22;1460.87;1433.22
2/08/22;1433.22;--;1464.55;1464.55;1421.94
2/07/22;1464.55;--;1450.61;1478.48;1433.44
2/04/22;1450.61;--;1424.03;1471.43;1424.03
2/03/22;1424.03;--;1436.56;1436.56;1408.64
2/02/22;1436.56;--;1427.83;1439.52;1405.26
2/01/22;1427.83;--;1385.74;1431.24;1372.17
01/31/2022;1385.74;--;1382.38;1394.49;1359.77
01/28/2022;1382.38;--;1392.31;1401.9;1355.95
01/27/2022;1392.31;--;1375.06;1416.03;1367.94
01/26/2022;1375.06;--;1377.29;1405.16;1361.52
01/25/2022;1377.29;--;1324.05;1381.91;1295.94
01/24/2022;1324.05;--;1324.17;1329.22;1264.02
01/21/2022;1324.17;--;1355.63;1355.63;1310.1
01/20/2022;1355.63;--;1380.61;1398.11;1354.07
01/19/2022;1380.61;--;1388.16;1401.34;1366.76
01/18/2022;1388.16;--;1382.96;1408.05;1367.76
01/14/2022;1382.96;--;1347.76;1383.96;1347.76
01/13/2022;1347.76;--;1353.07;1365.38;1343.56
1/12/22;1353.07;--;1342.52;1359.81;1341.57
1/11/22;1342.52;--;1297.04;1344.68;1297.04
1/10/22;1297.04;--;1301.17;1305.13;1279.69
1/07/22;1301.17;--;1282.31;1302.54;1280.27
1/06/22;1282.31;--;1247.92;1288.23;1247.92
1/05/22;1247.92;--;1253.64;1280.14;1246.18
1/04/22;1253.64;--;1212.9;1258.19;1212.9
1/03/22;1212.9;--;1178.2;1213.92;1178.2
12/31/2021;1178.2;--;1176.8;1184.29;1172.52
12/30/2021;1176.8;--;1185.57;1194.32;1176.12
12/29/2021;1185.57;--;1193.64;1199.28;1181.43
12/28/2021;1193.64;--;1194.38;1205.68;1187.49
12/27/2021;1194.38;--;1166.89;1194.46;1152.63
